Algorithm,Iteration,Code Tested,Coverage,Execution Time
pymoo.algorithms.soo.nonconvex.pso,1,trig_area.py,70.0%,545.264899969101
pymoo.algorithms.soo.nonconvex.pso,2,trig_area.py,70.0%,527.7157788276672
pymoo.algorithms.soo.nonconvex.pso,3,trig_area.py,70.0%,688.3713629245758
pymoo.algorithms.soo.nonconvex.pso,4,trig_area.py,70.0%,619.4356300830841
pymoo.algorithms.soo.nonconvex.pso,5,trig_area.py,70.0%,608.4239358901978
pymoo.algorithms.soo.nonconvex.pso,6,trig_area.py,70.0%,479.5887989997864
pymoo.algorithms.soo.nonconvex.pso,7,trig_area.py,70.0%,575.076367855072
pymoo.algorithms.soo.nonconvex.pso,8,trig_area.py,70.0%,533.8976898193359
pymoo.algorithms.soo.nonconvex.pso,9,trig_area.py,70.0%,537.8902509212494
pymoo.algorithms.soo.nonconvex.pso,10,trig_area.py,70.0%,423.3551547527313
pymoo.algorithms.soo.nonconvex.pso,11,trig_area.py,70.0%,423.53669905662537
pymoo.algorithms.soo.nonconvex.pso,12,trig_area.py,70.0%,410.6262550354004
pymoo.algorithms.soo.nonconvex.pso,13,trig_area.py,70.0%,515.7447137832642
pymoo.algorithms.soo.nonconvex.pso,14,trig_area.py,60.0%,401.1206750869751
pymoo.algorithms.soo.nonconvex.pso,15,trig_area.py,70.0%,385.96060276031494
pymoo.algorithms.soo.nonconvex.pso,16,trig_area.py,70.0%,388.59963488578796
pymoo.algorithms.soo.nonconvex.pso,17,trig_area.py,70.0%,503.6393201351166
pymoo.algorithms.soo.nonconvex.pso,18,trig_area.py,50.0%,389.00064992904663
pymoo.algorithms.soo.nonconvex.pso,19,trig_area.py,70.0%,495.48332595825195
pymoo.algorithms.soo.nonconvex.pso,20,trig_area.py,70.0%,398.47303676605225
pymoo.algorithms.soo.nonconvex.pso,21,trig_area.py,30.0%,272.8007309436798
pymoo.algorithms.soo.nonconvex.pso,22,trig_area.py,70.0%,424.0068690776825
pymoo.algorithms.soo.nonconvex.pso,23,trig_area.py,70.0%,427.4745788574219
pymoo.algorithms.soo.nonconvex.pso,24,trig_area.py,50.0%,337.5295879840851
pymoo.algorithms.soo.nonconvex.pso,25,trig_area.py,70.0%,334.239951133728
pymoo.algorithms.soo.nonconvex.pso,26,trig_area.py,70.0%,338.72329688072205
pymoo.algorithms.soo.nonconvex.pso,27,trig_area.py,70.0%,427.9456729888916
pymoo.algorithms.soo.nonconvex.pso,28,trig_area.py,70.0%,341.79583525657654
pymoo.algorithms.soo.nonconvex.pso,29,trig_area.py,70.0%,419.6454701423645
pymoo.algorithms.soo.nonconvex.pso,30,trig_area.py,70.0%,423.8120400905609
